"reviewId","creationDate","criticName","criticPageUrl","reviewState","isFresh","isRotten","isRtUrl","isTopCritic","publicationUrl","publicationName","reviewUrl","quote","scoreSentiment","originalScore","movieId"
1913302,"1992-01-01","","","rotten",False,True,False,True,"/critics/source/150","Entertainment Weekly","http://www.ew.com/ew/article/0,,310124,00.html","","NEGATIVE","D+","e14e169b-f9b5-328e-b899-498c1c992114"
1911370,"1999-08-29","","","rotten",False,True,False,True,"/critics/source/150","Entertainment Weekly","http://www.ew.com/ew/article/0,,275269,00.html","","NEGATIVE","C-","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159555,"2000-01-01","A.O. Scott","/critics/ao-scott","fresh",True,False,False,True,"/critics/source/337","New York Times","http://www.nytimes.com/library/film/012800cup-film-review.html","","POSITIVE","4/5","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159557,"2000-01-01","James Berardinelli","/critics/james-berardinelli","fresh",True,False,False,False,"/critics/source/387","ReelViews","http://www.reelviews.net/movies/c/cup.html","","POSITIVE","3/4","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159558,"2000-01-01","Roger Ebert","/critics/roger-ebert","fresh",True,False,False,True,"/critics/source/67","Chicago Sun-Times","http://www.rogerebert.com/reviews/the-cup-2000","A delightful demonstration of how spirituality can coexist quite happily with an intense desire for France to defeat Brazil.","POSITIVE","3/4","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159562,"2000-01-01","Eric D. Snider","/critics/eric-d-snider","rotten",False,True,False,False,"/critics/source/986","EricDSnider.com","http://www.ericdsnider.com/movies/the-cup/","","NEGATIVE","C","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159570,"2000-01-01","Frank Swietek","/critics/frank-swietek","rotten",False,True,False,False,"/critics/source/347","One Guy's Opinion","http://www.oneguysopinion.com/Review.php?ID=11","There are moments of real charm in The Cup...but for the most part it's content to glide along on a cloud of whimsy.","NEGATIVE","C+","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159572,"2000-01-01","Guy MacPherson","/critics/guy-macpherson","rotten",False,True,False,False,"/critics/source/19","Apollo Guide","http://www.apolloguide.com/mov_fullrev.asp?CID=1521","","NEGATIVE","70/100","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159582,"2000-01-01","Oz","/critics/oz","fresh",True,False,False,False,"/critics/source/141","eFilmCritic.com","http://efilmcritic.com/review.php?movie=3636&reviewer=1","","POSITIVE","3/5","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159589,"2000-01-01","Susan Stark","/critics/susan-stark","fresh",True,False,"",True,"/critics/source/122","Detroit News","","","POSITIVE","3/4","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159590,"2000-01-01","John A. Nesbit","/critics/john-a-nesbit","fresh",True,False,False,False,"/critics/source/1777","Old School Reviews","http://oldschoolreviews.com/rev_90/cup.htm","proves the monks are far more human than stereotypes have led us to believe","POSITIVE","B","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159594,"2000-01-01","Marc Savlov","/critics/marc-savlov","fresh",True,False,False,True,"/critics/source/28","Austin Chronicle","http://www.austinchronicle.com/gyrobase/Calendar/Film?Film=oid%3a140422","","POSITIVE","3/5","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159612,"2000-01-01","Maria Garcia","/critics/maria-garcia","fresh",True,False,False,False,"/critics/source/171","Film Journal International","http://www.filmjournal.com/filmjournal/reviews/article_display.jsp?vnu_content_id=1000697408","Delightful and thought-provoking.","POSITIVE","","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159624,"2000-01-01","","","fresh",True,False,"",False,"/critics/source/385","Reel.com","","","POSITIVE","3.5/4","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159628,"2000-01-01","Harvey S. Karten","/critics/harvey-s-karten","fresh",True,False,False,False,"/critics/source/570","Compuserve","http://reviews.imdb.com/Reviews/225/22552","","POSITIVE","7/10","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
159629,"2000-01-01","Steve Rhodes","/critics/steve-rhodes","rotten",False,True,False,False,"/critics/source/703","Internet Reviews","http://reviews.imdb.com/Reviews/228/22861","","NEGATIVE","2/4","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
204136,"2000-01-01","Rob Blackwelder","/critics/rob-blackwelder","fresh",True,False,False,False,"/critics/source/425","SPLICEDWire","http://splicedwire.com/00reviews/cup.html","","POSITIVE","9/10","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
764719,"2000-01-01","Dennis Schwartz","/critics/dennis-schwartz","fresh",True,False,False,False,"/critics/source/873","Dennis Schwartz Movie Reviews","https://dennisschwartzreviews.com/cup/","If all you see is a bunch of kids watching a soccer game on satellite TV, then I think you missed the film's message.","POSITIVE","B+","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
764721,"2000-01-01","Scott Renshaw","/critics/scott-renshaw","fresh",True,False,False,False,"/critics/source/381","rec.arts.movies.reviews","http://reviews.imdb.com/Reviews/230/23083","","POSITIVE","6/10","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
764722,"2000-01-01","Mark R. Leeper","/critics/mark-r-leeper","fresh",True,False,False,False,"/critics/source/381","rec.arts.movies.reviews","http://reviews.imdb.com/Reviews/234/23443","","POSITIVE","+1 out of -4..+4","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
43083,"2000-01-01","Roger Ebert","/critics/roger-ebert","rotten",False,True,False,True,"/critics/source/67","Chicago Sun-Times","http://www.rogerebert.com/reviews/the-big-green-1995","In the right role, Olivia d'Abo would be irreplaceable. She has never found that role. Here, struggling gamely with the hopelessly predictable Big Green, she shows a quality that in another role, in another picture, could be luminous.","NEGATIVE","1.5/4","4237b32a-d262-3ad6-860a-908425c5ac71"
43094,"2000-01-01","Joey O'Bryan","/critics/joey-obryan","rotten",False,True,False,True,"/critics/source/28","Austin Chronicle","http://www.austinchronicle.com/gyrobase/Calendar/Film?Film=oid%3a142594","","NEGATIVE","0/5","4237b32a-d262-3ad6-860a-908425c5ac71"
153506,"2000-01-01","James Berardinelli","/critics/james-berardinelli","fresh",True,False,False,False,"/critics/source/387","ReelViews","http://www.reelviews.net/movies/f/fever_pitch.html","","POSITIVE","3/4","6f12d711-894c-3dec-ba70-858ec20b8fd0"
153526,"2000-01-01","David Keyes","/critics/david-keyes","rotten",False,True,False,False,"/critics/source/1541","Cinemaphile.org","http://cinemaphile.org/reviews/1999/feverpitch.html","","NEGATIVE","2.5/4","6f12d711-894c-3dec-ba70-858ec20b8fd0"
768161,"2000-01-01","Eugene Novikov","/critics/eugene-novikov","rotten",False,True,False,False,"/critics/source/610","Film Blather","http://filmblather.com/films/feverpitch/","","NEGATIVE","C+","6f12d711-894c-3dec-ba70-858ec20b8fd0"
26718,"2000-01-01","Steve Davis","/critics/steve-davis","rotten",False,True,False,True,"/critics/source/28","Austin Chronicle","http://www.austinchronicle.com/gyrobase/Calendar/Film?Film=oid%3a139153","","NEGATIVE","2/5","e14e169b-f9b5-328e-b899-498c1c992114"
213083,"2001-04-17","Christopher Null","/critics/christopher-null","fresh",True,False,"",False,"/critics/source/178","Filmcritic.com","","","POSITIVE","3/5","1b7b7ed1-b91c-3928-bc89-3a1cf554cab7"
226455,"2001-05-30","","","fresh",True,False,False,True,"/critics/source/148","Empire Magazine","http://www.empireonline.com/reviews/ReviewComplete.asp?FID=6070","","POSITIVE","3/5","4e7ab563-7cf8-3f95-ad78-5668bf38710a"
226459,"2001-05-30","Brian Webster","/critics/brian-webster","fresh",True,False,"",False,"/critics/source/19","Apollo Guide","","","POSITIVE","71/100","4e7ab563-7cf8-3f95-ad78-5668bf38710a"
226462,"2001-05-30","Ian Mantgani","/critics/ian-mantgani","rotten",False,True,"",False,"/critics/source/458","UK Critic","","Asks us to root for a gawky little moron and surrounds him with phoney caricatures","NEGATIVE","2/4","4e7ab563-7cf8-3f95-ad78-5668bf38710a"
226465,"2001-05-30","Michael Thomson","/critics/michael-thomson","fresh",True,False,False,True,"/critics/source/52","BBC.com","http://www.bbc.co.uk/films/2000/08/22/jimmy_grimble_review.shtml","","POSITIVE","4/5","4e7ab563-7cf8-3f95-ad78-5668bf38710a"
249933,"2001-09-13","Andrew Sun","/critics/andrew-sun","fresh",True,False,"",True,"/critics/source/213","Hollywood Reporter","","The movie has something for any Hong Kong cinephile.","POSITIVE","","3da46dee-cea6-3eb6-923c-509b93e845fa"
277417,"2002-01-08","Neil Smith","/critics/neil-smith","fresh",True,False,False,True,"/critics/source/52","BBC.com","http://www.bbc.co.uk/films/2001/09/21/mike_bassett_2001_review.shtml","","POSITIVE","3/5","56f00253-2454-357d-9b78-46a6dde59157"
277422,"2002-01-08","Ian Mantgani","/critics/ian-mantgani","rotten",False,True,"",False,"/critics/source/458","UK Critic","","Such an unnecessary movie, shot in a crummy pseudo-documentary style","NEGATIVE","1.5/4","56f00253-2454-357d-9b78-46a6dde59157"
277814,"2002-01-09","Jamie Russell","/critics/jamie-russell","fresh",True,False,False,True,"/critics/source/52","BBC.com","http://www.bbc.co.uk/films/2001/11/29/mean_machine_2001_review.shtml","It's guaranteed to make you laugh... but whether that's at it or with it is a matter of taste.","POSITIVE","3/5","318d2e99-64db-3ae5-acd9-9b9d14f74d88"
277817,"2002-01-09","Mark Adams","/critics/mark-adams","fresh",True,False,"",True,"/critics/source/213","Hollywood Reporter","","Jones ... does offer a brutal form of charisma.","POSITIVE","","318d2e99-64db-3ae5-acd9-9b9d14f74d88"
279957,"2002-01-20","Ian Mantgani","/critics/ian-mantgani","fresh",True,False,"",False,"/critics/source/458","UK Critic","","The screenplay makes the best of its source material, and offers us some genuine wit.","POSITIVE","3/4","318d2e99-64db-3ae5-acd9-9b9d14f74d88"
286508,"2002-02-15","Warren Curry","/critics/warren-curry","rotten",False,True,False,False,"/critics/source/178","Filmcritic.com","http://www.filmcritic.com/misc/emporium.nsf/reviews/Mean-Machine","Contains all the substance of a Twinkie -- easy to swallow, but scarcely nourishing.","NEGATIVE","2.5/5","318d2e99-64db-3ae5-acd9-9b9d14f74d88"
286822,"2002-02-16","Jon Lap","/critics/jon-lap","rotten",False,True,False,False,"/critics/source/19","Apollo Guide","http://apolloguide.com/mov_fullrev.asp?CID=3898&RID=4632","Plays like a series of vignettes -- clips of a film that are still looking for a common through-line.","NEGATIVE","65/100","318d2e99-64db-3ae5-acd9-9b9d14f74d88"
